Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Level
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,21.30748467
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,143467.708
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,59.35779415
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,2625.572
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Kenya,KEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,44.28611589
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,63809.467
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,50.50489982
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,660.06
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Nicaragua,NIC,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,28.50257603
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,14077.613
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Norway,NOR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,2.822770652
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,16105.464
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Pakistan,PAK,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,46.49232046
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,105767.281
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
South Africa,ZAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,82.54540059
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,707.731
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,57.91440738
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,50083.886
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
