Country.Name,Country.Code,Indicator.Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural methane emissions (thousand metric tons of CO2 equivalent),CO2 emissions (kt),Forest area (% of land area)
Afghanistan,AFG,AG.LND.FRST.ZS,X2011,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2012,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2013,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2014,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2015,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2016,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2017,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X2018,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1960,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1961,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1962,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1963,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1964,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1965,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1966,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1967,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1968,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1969,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1970,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1971,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1972,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1973,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1974,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1975,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1976,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1977,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1978,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1979,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1980,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1981,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1982,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1983,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1984,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1985,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1986,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1987,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1988,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1989,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1990,0.01,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1991,0.01,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1992,0.01,NA,NA,NA,NA
