"Country.Name","Country.Code","Indicator.Code","Year","Agricultural land (% of land area)","CO2 emissions (kt)","Forest area (% of land area)"
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1988",NA,2867.594,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1989",NA,2775.919,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1990",NA,2614.571,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1991",NA,2438.555,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1992",NA,1393.46,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1993",NA,1345.789,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1994",NA,1294.451,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1995",NA,1243.113,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1996",NA,1177.107,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1997",NA,1096.433,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1998",NA,1041.428,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1999",NA,821.408,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2000",NA,773.737,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2001",NA,817.741,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2002",NA,1070.764,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2003",NA,1195.442,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2004",NA,949.753,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2005",NA,1327.454,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2006",NA,1650.15,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2007",NA,2273.54,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2008",NA,4206.049,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2009",NA,6769.282,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2010",NA,8463.436,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2011",NA,12240.446,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2012",NA,10755.311,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2013",NA,10014.577,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2014",NA,9809.225,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2015",NA,NA,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2016",NA,NA,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2017",NA,NA,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X2018",NA,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1960",NA,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1961",50.3633952,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1962",49.85365533,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1963",49.28398905,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1964",48.70738008,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1965",48.15306081,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1966",47.84904392,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1967",47.39411479,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1968",47.22310528,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1969",47.24758741,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1970",47.23954851,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1971",47.19350749,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1972",47.14746646,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1973",47.10142544,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1974",47.05538442,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1975",47.0093434,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1976",46.96330238,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1977",46.91726136,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1978",46.87122034,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1979",46.82517932,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1980",46.7791383,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1981",46.73309728,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1982",47.05282659,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1983",47.00715097,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1984",46.96074455,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1985",46.91470353,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1986",46.86866251,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1987",46.7495405,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1988",46.54527915,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1989",46.57816559,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1990",46.61287906,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1991",46.64759253,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1992",46.682306,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1993",46.71701947,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1994",46.75282915,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1995",46.78827343,NA,NA
